# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.250       3.6442475       36.739536       90.079819
0.250       3.7070793       36.029365       92.987059
0.250       3.7699112       34.791522       94.435883
0.250       3.8327430       33.792293       96.386681
0.250       3.8955749       32.529006       97.421704
0.250       3.9584067       31.630733       99.389561
0.250       4.0212386       30.352103       99.985857
0.250       4.1469023       28.057978       101.36734
0.250       4.2725660       27.801228       109.85013
0.250       4.3982297       25.948484       111.84485
0.250       4.5238934       24.338899       114.15851
0.250       4.6495571       23.110168       117.68148
0.250       4.7752208       22.303633       123.03431
0.250       4.9008845       21.051896       125.54080
0.250       5.0265482       20.003684       128.70334
0.250       5.1522120       19.262160       133.46162
0.250       5.2778757       18.152672       135.20361
0.250       5.4035394       17.036957       136.17496
0.250       5.5292031       16.430683       140.70628
0.250       5.6548668       15.919236       145.83427
0.250       5.7805305       15.104010       147.79700
0.250       5.9061942       14.345659       149.73176
0.250       6.0318579       13.641092       151.66058
0.250       6.1575216       13.246299       156.66884
0.250       6.2831853       12.515374       157.27283
0.250       6.4088490       12.110838       161.50447
0.250       6.5345127       11.480722       162.28526
0.250       6.6601764       11.292491       169.01187
0.250       6.7858401       10.902641       172.58890
0.250       6.9115038       10.374806       173.52733
0.250       7.0371675       9.8934624       174.66755
0.250       7.1628313       9.5815931       178.38656
0.250       7.2884950       9.2205869       180.85995
0.250       7.4141587       8.9540812       184.87446
0.250       7.5398224       8.5592072       185.86052
0.250       7.6654861       8.2932624       189.24080
0.250       7.7911498       8.0478402       192.82097
0.250       7.9168135       7.7582899       195.02375
